id,options,times,pointX,pointY,username
27981,slide,1572937959770,732,413,91
27982,slide,1572937959790,747,407,91
27983,slide,1572937959808,752,404,91
27984,slide,1572937959825,753,403,91
27985,slide,1572937959854,757,399,91
27986,slide,1572937959859,760,397,91
27987,slide,1572937959874,760,396,91
27988,slide,1572937959891,760,396,91
27989,slide,1572937959908,760,396,91
27990,slide,1572937959970,761,395,91
27991,slide,1572937959978,761,395,91
27992,slide,1572937959990,762,394,91
27993,slide,1572937960010,763,394,91
27994,slide,1572937960023,763,394,91
27995,slide,1572937960040,763,395,91
27996,slide,1572937960058,763,395,91
27997,slide,1572937960078,763,396,91
27998,slide,1572937960091,763,396,91
27999,slide,1572937960564,763,396,91
28000,slide,1572937960574,762,396,91
28001,slide,1572937960590,761,397,91
28002,slide,1572937960607,761,397,91
28003,slide,1572937960633,761,397,91
28004,slide,1572937960641,761,397,91
28005,slide,1572937960657,761,398,91
28006,slide,1572937960707,761,397,91
28007,slide,1572937960723,761,397,91
28008,slide,1572937960740,761,397,91
28009,slide,1572937960758,761,396,91
28010,slide,1572937960774,762,395,91
28011,slide,1572937960790,763,393,91
28012,slide,1572937960807,765,390,91
28013,slide,1572937960824,768,387,91
28014,slide,1572937960840,774,382,91
28015,slide,1572937960857,785,374,91
28016,slide,1572937960874,801,363,91
28017,slide,1572937960890,831,348,91
28018,slide,1572937960907,858,334,91
28019,slide,1572937960923,899,313,91
28020,slide,1572937960941,928,293,91
28021,slide,1572937960957,946,276,91
28022,slide,1572937960975,962,258,91
28023,slide,1572937962473,1226,149,91
28024,slide,1572937962556,1226,149,91
28025,slide,1572937962577,1226,149,91
28026,slide,1572937962594,1227,150,91
28027,slide,1572937962607,1227,150,91
28028,slide,1572937962624,1228,150,91
28029,slide,1572937962640,1228,151,91
28030,slide,1572937962656,1228,153,91
28031,slide,1572937962674,1219,162,91
28032,slide,1572937962692,1211,168,91
28033,slide,1572937962710,1203,175,91
28034,slide,1572937963072,1201,177,91
28035,slide,1572937963080,1195,181,91
28036,slide,1572937963090,1190,183,91
28037,slide,1572937963107,1186,184,91
28038,slide,1572937963124,1184,184,91
28039,slide,1572937963140,1182,185,91
28040,slide,1572937963157,1182,185,91
28041,slide,1572937963174,1182,186,91
28042,slide,1572937965582,1181,185,91
28043,slide,1572937965590,1180,184,91
28044,slide,1572937965607,1178,183,91
28045,slide,1572937965624,1176,182,91
28046,slide,1572937965640,1174,181,91
28047,slide,1572937965658,1174,181,91
28048,slide,1572937965681,1174,181,91
28049,slide,1572937965705,1174,181,91
28050,slide,1572937965776,1173,181,91
28051,slide,1572937965792,1173,181,91
28052,slide,1572937965808,1171,181,91
28053,slide,1572937965825,1166,182,91
28054,slide,1572937965840,1151,185,91
28055,slide,1572937965857,1121,188,91
28056,slide,1572937965875,1078,193,91
28057,slide,1572937965890,1029,196,91
28058,slide,1572937965907,996,198,91
28059,slide,1572937965924,961,200,91
28060,slide,1572937965941,956,200,91
28061,slide,1572937965958,956,200,91
28062,slide,1572937965975,956,202,91
28063,slide,1572937965990,958,204,91
28064,slide,1572937966008,958,206,91
28065,slide,1572937966023,959,206,91
28066,slide,1572937966300,959,206,91
28067,slide,1572937966307,959,205,91
28068,slide,1572937966323,959,204,91
28069,slide,1572937966341,959,203,91
28070,slide,1572937966358,959,202,91
28071,slide,1572937966374,960,201,91
28072,slide,1572937966391,960,200,91
28073,slide,1572937966408,959,200,91
28074,slide,1572937966425,959,200,91
28075,slide,1572937966441,959,200,91
28076,slide,1572937966457,959,199,91
28077,slide,1572937966473,958,199,91
28078,slide,1572937966491,958,199,91
28079,slide,1572937966507,958,199,91
28080,slide,1572937966524,958,199,91
28081,slide,1572937966612,957,198,91
28082,slide,1572937966624,956,198,91
28083,slide,1572937966640,951,197,91
28084,slide,1572937966658,942,197,91
28085,slide,1572937966674,919,195,91
28086,slide,1572937966691,879,194,91
28087,slide,1572937966707,867,193,91
28088,slide,1572937966724,865,193,91
28089,slide,1572937966774,865,193,91
28090,slide,1572937966800,865,192,91
28091,slide,1572937966808,865,192,91
28092,slide,1572937966824,865,192,91
28093,slide,1572937966842,865,191,91
28094,slide,1572937966858,865,191,91
28095,slide,1572937966874,865,190,91
28096,slide,1572937966890,861,188,91
28097,slide,1572937966908,854,186,91
28098,slide,1572937966924,847,184,91
28099,slide,1572937966941,835,180,91
28100,slide,1572937966959,832,180,91
28101,slide,1572937966974,832,179,91
28102,slide,1572937967050,831,179,91
28103,slide,1572937967058,830,179,91
28104,slide,1572937967074,827,178,91
28105,slide,1572937967090,825,177,91
28106,slide,1572937967107,819,175,91
28107,slide,1572937967124,816,174,91
28108,slide,1572937967140,813,173,91
28109,slide,1572937967158,811,172,91
