id,options,times,pointX,pointY,username,fs,Vx,VxIF,VxIE,Vy,VyIF,VyIE,V,VIF,VIE,A,AIF,AIE,J,JIF,JIE,S,SIF,SIE,D,DIF,DIE,Direction,Direction change rate,DVIF,DVIE,cd,cur,currate,currateIF,currateIE
80461,slide,1573790136068 ,672,449,94,7 ,-0.142857143,,,0,,,0.142857143,,,0.00484565,,,-0.001297942,,,0.000180149,,,2.58602E-05,,,0.00 ,6.428571429,,,0,45,-10.97425788,,
80462,slide,1573790136075 ,671,449,94,8 ,-0.125,,,-0.125,,,0.176776695,,,-0.004239944,,,-3.69004E-05,,,0.000361171,,,-0.000157704,,,45.00 ,-5.625,,,0.2,-31.81980515,15.22747564,,
80463,slide,1573790136083 ,670,448,94,7 ,-0.142857143,,,0,,,0.142857143,,,-0.004535147,,,0.002852464,,,-0.000900465,,,0.00021097,,,0.00 ,12.85714286,,,0.2,90,-25.71428571,,
80464,slide,1573790136090 ,669,448,94,9 ,0,,,-0.111111111,,,0.111111111,,,0.015432099,,,-0.003450789,,,0.000576322,,,-6.75959E-05,,,90.00 ,-10,,,0.5,-90,15,,
80465,slide,1573790136099 ,669,447,94,8 ,-0.25,,,0,,,0.25,,,-0.015625,,,0.001736111,,,-3.2041E-05,,,-7.90112E-05,,,0.00 ,11.25,,,0.4,45,-16.875,,
80466,slide,1573790136107 ,667,447,94,8 ,0,,,-0.125,,,0.125,,,-0.001736111,,,0.001479783,,,-0.000664131,,,0.000183991,,,90.00 ,-11.25,,,0.4,-90,16.875,,
80467,slide,1573790136115 ,667,446,94,9 ,-0.111111111,,,0,,,0.111111111,,,0.010102155,,,-0.003833263,,,0.000807798,,,-0.000144348,,,0.00 ,5,,,0.5,45,-8.535533906,,
80468,slide,1573790136124 ,666,446,94,7 ,-0.142857143,,,-0.142857143,,,0.202030509,,,-0.024397216,,,0.003436915,,,-0.000491335,,,7.05059E-05,,,45.00 ,-6.428571429,,,0.2,-31.81980515,4.54568645,,
80469,slide,1573790136131 ,665,445,94,32 ,-0.03125,,,0,,,0.03125,,,-0.000338807,,,-2.42768E-06,,,2.20627E-06,,,-3.68694E-07,,,0.00 ,0,,,0.2,0,2.8125,,
80470,slide,1573790136163 ,664,445,94,49 ,-0.020408163,,,0,,,0.020408163,,,-0.000416493,,,6.81729E-05,,,-9.59196E-06,,,1.19065E-06,,,0.00 ,1.836734694,,,0,90,-1.836734694,,
80471,slide,1573790136212 ,663,445,94,9 ,0,,,0,,,0,,,0.002923977,,,-0.000401833,,,4.87497E-05,,,-5.53637E-06,,,90.00 ,-10,,,0,0,10,,
80472,slide,1573790136221 ,663,445,94,38 ,-0.026315789,,,0,,,0.026315789,,,-0.000692521,,,3.69144E-05,,,-1.07763E-06,,,-2.63072E-07,,,0.00 ,2.368421053,,,0,90,-2.368421053,,
80473,slide,1573790136259 ,662,445,94,8 ,0,,,0,,,0,,,0.000710227,,,-4.03538E-06,,,-1.10744E-05,,,6.00791E-06,,,90.00 ,0,,,0,0,0,,
80474,slide,1573790136267 ,662,445,94,176 ,0,,,-0.005681818,,,0.005681818,,,0.000677944,,,-9.26304E-05,,,3.69889E-05,,,-8.74389E-06,,,90.00 ,0,,,0,0,0,,
80475,slide,1573790136443 ,662,444,94,8 ,0,,,-0.125,,,0.125,,,-0.015625,,,0.006417411,,,-0.001501935,,,0.00033838,,,90.00 ,0,,,0,0,0,,
80476,slide,1573790136451 ,662,443,94,8 ,0,,,0,,,0,,,0.035714286,,,-0.005598073,,,0.001205107,,,-0.000245399,,,90.00 ,0,,,0,0,0,,
80477,slide,1573790136459 ,662,443,94,7 ,0,,,-0.285714286,,,0.285714286,,,-0.009070295,,,0.00404278,,,-0.000758086,,,0.000145395,,,90.00 ,0,,,0,0,-11.5403608,,
80478,slide,1573790136466 ,662,441,94,9 ,0,,,-0.222222222,,,0.222222222,,,0.019229165,,,-0.001263822,,,0.000259677,,,-0.000103157,,,90.00 ,-17.95167235,,,0,-80.78252559,8.821281425,,
80479,slide,1573790136475 ,662,439,94,8 ,0.125,,,-0.375,,,0.395284708,,,0.007854767,,,0.001073275,,,-0.000668731,,,0.00017224,,,-71.57 ,-0.549838169,,,0.076923077,-1.390992768,1.112600851,,
80480,slide,1573790136483 ,663,436,94,9 ,0.111111111,,,-0.444444444,,,0.458122847,,,0.016440964,,,-0.004276577,,,0.00070919,,,-8.30471E-05,,,-75.96 ,3.440417392,,,0.018867925,7.509814044,-1.530139628,,
80481,slide,1573790136492 ,664,432,94,7 ,0.428571429,,,-0.428571429,,,0.606091527,,,-0.022048225,,,0.002106131,,,-3.82345E-05,,,-6.03807E-05,,,-45.00 ,-3.795007311,,,0.138461538,-6.26144261,1.583647817,,
80482,slide,1573790136499 ,667,429,94,7 ,0.142857143,,,-0.428571429,,,0.451753951,,,-0.007305306,,,0.00183849,,,-0.0004609,,,0.000202087,,,-71.57 ,2.179302672,,,0.115384615,4.824092108,-0.689156015,,
80483,slide,1573790136506 ,668,426,94,9 ,0.222222222,,,-0.333333333,,,0.400616808,,,0.005564122,,,-0.001387808,,,0.000953706,,,-0.000283878,,,-56.31 ,0,,,0.066666667,0,1.167181159,,
80484,slide,1573790136515 ,670,423,94,8 ,0.25,,,-0.375,,,0.450693909,,,-0.00692615,,,0.007195547,,,-0.0016012,,,0.000329154,,,-56.31 ,4.734372956,,,0,10.50463043,-2.112536568,,
80485,slide,1573790136523 ,672,420,94,8 ,0.375,,,-0.125,,,0.395284708,,,0.050638228,,,-0.005614052,,,0.001032031,,,-0.000133282,,,-18.43 ,-2.528107429,,,0.170731707,-6.395662116,1.101287332,,
80486,slide,1573790136531 ,675,419,94,8 ,0.625,,,-0.5,,,0.80039053,,,0.00572581,,,0.002642198,,,-3.42273E-05,,,-0.000189979,,,-38.66 ,1.932652218,,,0.078651685,2.414636538,-0.301829567,,
80487,slide,1573790136539 ,680,415,94,9 ,0.777777778,,,-0.333333333,,,0.846197012,,,0.026863397,,,0.00236838,,,-0.001554058,,,0.000550261,,,-23.20 ,0,,,0.067357513,0,0.115892105,,
80488,slide,1573790136548 ,687,412,94,7 ,1,,,-0.428571429,,,1.087967587,,,0.048178814,,,-0.011618138,,,0.003398289,,,-0.000754803,,,-23.20 ,1.134781687,,,0,1.043028948,-0.167098162,,
80489,slide,1573790136555 ,694,409,94,8 ,1.375,,,-0.375,,,1.425219281,,,-0.033148153,,,0.012169882,,,-0.001885334,,,7.57581E-05,,,-15.26 ,-0.180515691,,,0.033333333,-0.126658188,0.1024787,,
80490,slide,1573790136563 ,705,406,94,9 ,1.111111111,,,-0.333333333,,,1.160034057,,,0.064210899,,,-0.002912794,,,-0.00127927,,,0.000621376,,,-16.70 ,0.804102447,,,0.006289308,0.693171414,-0.023260688,,
80491,slide,1573790136572 ,715,403,94,7 ,1.714285714,,,-0.285714286,,,1.737932152,,,0.037995756,,,-0.014426223,,,0.004313117,,,-0.001392346,,,-9.46 ,0.840855405,,,0.031434185,0.48382522,-0.037248516,,
80492,slide,1573790136579 ,727,401,94,8 ,2,,,-0.125,,,2.003902443,,,-0.062987805,,,0.015765594,,,-0.005433306,,,0.001491558,,,-3.58 ,0.447041797,,,0.025220681,0.223085609,-0.070444209,,
