id,options,times,pointX,pointY,username,fs,Vx,VxIF,VxIE,Vy,VyIF,VyIE,V,VIF,VIE,A,AIF,AIE,J,JIF,JIE,S,SIF,SIE,D,DIF,DIE,Direction,Direction change rate,DVIF,DVIE,cd,cur,currate,currateIF,currateIE
80493,slide,1573790136587 ,743,400,94,8 ,1.5,,,0,,,1.5,,,0.063136944,,,-0.027700852,,,0.006499159,,,-0.001378529,,,0.00 ,-0.510702097,,,0.015286624,-0.340468065,0.015489976,,
80494,slide,1573790136595 ,755,400,94,7 ,2,,,-0.142857143,,,2.00509555,,,-0.158469876,,,0.02429242,,,-0.004529075,,,0.000958931,,,-4.09 ,-0.434199938,,,0.017725258,-0.216548253,0.157185395,,
80495,slide,1573790136602 ,769,399,94,9 ,0.888888889,,,-0.111111111,,,0.895806416,,,0.011577065,,,-0.007411105,,,0.002183445,,,-0.00058471,,,-7.13 ,0.791668483,,,0.012295082,0.883749512,0.270764654,,
80496,slide,1573790136611 ,777,398,94,8 ,1,,,0,,,1,,,-0.055122876,,,0.012239904,,,-0.003078943,,,0.000586964,,,0.00 ,3.320631397,,,0.031128405,3.320631397,-0.215928663,,
80497,slide,1573790136619 ,785,398,94,8 ,0.5,,,0.25,,,0.559016994,,,0.042796353,,,-0.012391636,,,0.001616771,,,-9.6577E-05,,,26.57 ,0.890627044,,,0.108108108,1.59320209,-0.199150261,,
80498,slide,1573790136627 ,789,400,94,8 ,0.75,,,0.5,,,0.901387819,,,-0.056336739,,,0.000542535,,,0.000844156,,,-0.000220865,,,33.69 ,0,,,0.029411765,0,-1.167992942,,
80499,slide,1573790136635 ,795,404,94,8 ,0.375,,,0.25,,,0.450693909,,,-0.051996461,,,0.007295781,,,-0.000922761,,,0.000111347,,,33.69 ,-4.211258441,,,#NUM!,-9.343943534,0.588028179,,
80500,slide,1573790136643 ,798,406,94,144 ,0.034722222,,,0,,,0.034722222,,,0.006369788,,,-8.63039E-05,,,-3.19838E-05,,,1.07315E-05,,,0.00 ,-0.161101323,,,0.147058824,-4.639718103,0.036563992,,
80501,slide,1573790136787 ,803,406,94,8 ,0.875,,,-0.375,,,0.951971638,,,-0.006057967,,,-0.004691973,,,0.001513357,,,-0.000255072,,,-23.20 ,0.595455211,,,0.098039216,0.625496798,-0.144722621,,
80502,slide,1573790136795 ,810,403,94,7 ,0.857142857,,,-0.285714286,,,0.903507903,,,-0.043593751,,,0.007414884,,,-0.000527219,,,3.18348E-05,,,-18.43 ,-0.480922952,,,0.020618557,-0.532284167,0.076040595,,
80503,slide,1573790136802 ,816,401,94,9 ,0.555555556,,,-0.222222222,,,0.598351645,,,0.00831044,,,0.003724349,,,-0.000304376,,,0.000182675,,,-21.80 ,0,,,0.01459854,0,-0.163896187,,
80504,slide,1573790136811 ,821,399,94,8 ,0.625,,,-0.25,,,0.673145601,,,0.041829577,,,0.000984967,,,0.001339696,,,-0.000528145,,,-21.80 ,-0.992933976,,,0,-1.475065684,0.35973627,,
80506,slide,1573790136819 ,826,397,94,8 ,0.875,,,-0.5,,,1.007782219,,,0.049709315,,,0.011702536,,,-0.002885466,,,0.000710298,,,-29.74 ,1.413741559,,,0.033333333,1.402824473,-0.309457689,,
80508,slide,1573790136827 ,833,393,94,9 ,1.333333333,,,-0.444444444,,,1.405456738,,,0.143329605,,,-0.011381195,,,0.002796921,,,-0.000542356,,,-18.43 ,-1.507826043,,,0.047058824,-1.072837037,0.113206386,,
80510,slide,1573790136836 ,845,389,94,7 ,2.285714286,,,-1.428571429,,,2.695423181,,,0.040898847,,,0.01379109,,,-0.00208428,,,0.000120484,,,-32.01 ,-0.145497764,,,0.057142857,-0.053979562,-0.034249094,,
80512,slide,1573790136843 ,861,379,94,8 ,2.5,,,-1.625,,,2.98171511,,,0.137436477,,,-0.000798869,,,-0.001240893,,,0.000456923,,,-33.02 ,-0.875798965,,,0.004383562,-0.29372322,0.025249712,,
80514,slide,1573790136851 ,881,366,94,8 ,3.125,,,-2.625,,,4.081206929,,,0.131045525,,,-0.010726011,,,0.00241449,,,-0.000615699,,,-40.03 ,-0.37435084,,,0.029864822,-0.091725523,-0.005794281,,
80516,slide,1573790136859 ,906,345,94,8 ,3.75,,,-3.5,,,5.129571132,,,0.045237441,,,0.008589907,,,-0.0025111,,,-6.73297E-06,,,-43.03 ,-0.70829,,,0.012900848,-0.13807977,0.009723267,,
80505,slide,1573790136867 ,936,317,94,8 ,3.625,,,-4.125,,,5.491470659,,,0.113956697,,,-0.011498893,,,-0.002564964,,,0.001297994,,,-48.69 ,-0.33110072,,,0.024715357,-0.060293634,0.007951581,,
80507,slide,1573790136875 ,965,284,94,8 ,4,,,-5,,,6.403124237,,,0.021965556,,,-0.032018603,,,0.007818987,,,-0.001603227,,,-51.34 ,0.021252081,,,0.011491713,0.003319017,0.001439701,,
80509,slide,1573790136883 ,997,244,94,8 ,4.125,,,-5.125,,,6.578848683,,,-0.234183266,,,0.030533297,,,-0.00500683,,,0.00068885,,,-51.17 ,0.097607917,,,0.000741702,0.014836626,0.001973873,,
80511,slide,1573790136891 ,1030,203,94,8 ,3,,,-3.625,,,4.705382556,,,0.010083109,,,-0.009521339,,,0.000503973,,,5.6341E-06,,,-50.39 ,0.14411462,,,0.00331329,0.03062761,-0.005549753,,
80513,slide,1573790136899 ,1054,174,94,8 ,3.125,,,-3.625,,,4.78604743,,,-0.066087605,,,-0.005489558,,,0.000549045,,,9.76293E-05,,,-49.24 ,-0.065905861,,,0.005030356,-0.013770415,-0.002849342,,
80515,slide,1573790136907 ,1079,145,94,8 ,2.75,,,-3.25,,,4.257346591,,,-0.110004071,,,-0.001097195,,,0.00133008,,,-0.000429884,,,-49.76 ,-0.155670533,,,0.002292702,-0.036565154,-0.016167318,,
80517,slide,1573790136915 ,1101,119,94,8 ,2.125,,,-2.625,,,3.377314022,,,-0.11878163,,,0.009543442,,,-0.002108991,,,0.000517065,,,-51.01 ,-0.560308882,,,0.00536193,-0.165903697,-0.03918147,,
80519,slide,1573790136923 ,1118,98,94,8 ,1.375,,,-2,,,2.42706098,,,-0.042434092,,,-0.00732849,,,0.00202753,,,-0.00046684,,,-55.49 ,-1.163424918,,,0.019043196,-0.479355454,-0.014361395,,
80521,slide,1573790136931 ,1129,82,94,9 ,0.888888889,,,-1.888888889,,,2.087588248,,,-0.101062008,,,0.00889175,,,-0.001707191,,,0.000424074,,,-64.80 ,-1.240542242,,,0.040689655,-0.594246611,0.066027401,,
80523,slide,1573790136940 ,1137,65,94,7 ,0.285714286,,,-1.142857143,,,1.178030179,,,-0.021036253,,,-0.006472971,,,0.002109479,,,-0.000519205,,,-75.96 ,0,,,0.04137931,0,2.875151673,,
80518,slide,1573790136947 ,1139,57,94,8 ,0.25,,,-1,,,1.030776406,,,-0.066347051,,,0.008293381,,,-0.001524954,,,0.000294813,,,-75.96 ,20.74546957,,,0,20.12606171,-2.515757714,,
80520,slide,1573790136955 ,1141,49,94,8 ,0,,,-0.5,,,0.5,,,0,,,-0.00390625,,,0.000833548,,,-0.000142116,,,90.00 ,0,,,0.054054054,0,0,,
80522,slide,1573790136963 ,1141,45,94,8 ,0,,,-0.5,,,0.5,,,-0.03125,,,0.002762136,,,-0.000303379,,,5.31726E-05,,,90.00 ,0,,,0,0,-2.8125,,
80524,slide,1573790136971 ,1141,41,94,8 ,0,,,-0.25,,,0.25,,,-0.009152913,,,0.000335103,,,0.000122002,,,-4.66803E-05,,,90.00 ,-5.625,,,0,-22.5,6.789975644,,
80526,slide,1573790136979 ,1141,39,94,8 ,-0.125,,,-0.125,,,0.176776695,,,-0.006472087,,,0.001311118,,,-0.000251441,,,3.72546E-05,,,45.00 ,5.625,,,0.2,31.81980515,-9.602475644,,
80528,slide,1573790136987 ,1140,38,94,8 ,0,,,-0.125,,,0.125,,,0.004016855,,,-0.000700408,,,4.65964E-05,,,-1.67711E-05,,,90.00 ,-5.625,,,0.2,-45,9.602475644,,
80530,slide,1573790136995 ,1140,37,94,9 ,-0.111111111,,,-0.111111111,,,0.15713484,,,-0.001586411,,,-0.000327637,,,-8.75725E-05,,,7.86094E-05,,,45.00 ,5,,,0.2,31.81980515,-13.53553391,,
80532,slide,1573790137004 ,1139,36,94,7 ,0,,,-0.142857143,,,0.142857143,,,-0.004535147,,,-0.00111579,,,0.000619912,,,-0.000169647,,,90.00 ,-12.85714286,,,0.2,-90,25.71428571,,
80535,slide,1573790137011 ,1139,35,94,9 ,-0.111111111,,,0,,,0.111111111,,,-0.012345679,,,0.003223594,,,-0.00056762,,,8.98008E-05,,,0.00 ,10,,,0.5,90,-10,,
80538,slide,1573790137020 ,1138,35,94,8 ,0,,,0,,,0,,,0.016666667,,,-0.001884987,,,0.000240587,,,-7.13482E-06,,,90.00 ,0,,,0,0,-8.4375,,
80525,slide,1573790137028 ,1138,35,94,15 ,0,,,-0.133333333,,,0.133333333,,,0.001586767,,,3.97107E-05,,,0.000183509,,,-8.94912E-05,,,90.00 ,-9,,,0,-67.5,4.5,,
80527,slide,1573790137043 ,1138,33,94,9 ,0.111111111,,,-0.111111111,,,0.15713484,,,0.002182428,,,0.002792341,,,-0.001158859,,,0.000310209,,,-45.00 ,0,,,0.2,0,-2.087147537,,
80529,slide,1573790137052 ,1139,32,94,8 ,0.125,,,-0.125,,,0.176776695,,,0.027313502,,,-0.007637386,,,0.001633023,,,-0.000314774,,,-45.00 ,-3.320631397,,,0,-18.78432783,8.734460379,,
80531,slide,1573790137060 ,1140,31,94,8 ,0.125,,,-0.375,,,0.395284708,,,-0.033785588,,,0.0054268,,,-0.00088517,,,0.000164982,,,-71.57 ,20.1956314,,,0.1,51.0913552,-23.2614194,,
80533,slide,1573790137068 ,1141,28,94,8 ,0,,,-0.125,,,0.125,,,0.009628814,,,-0.001654563,,,0.000434688,,,-0.00012775,,,90.00 ,-16.875,,,0.058823529,-135,16.875,,
80536,slide,1573790137076 ,1141,27,94,7 ,0.142857143,,,-0.142857143,,,0.202030509,,,-0.003607688,,,0.001822943,,,-0.00058731,,,0.000130747,,,-45.00 ,0,,,0.2,0,13.63705935,,
80540,slide,1573790137083 ,1142,26,94,8 ,0.125,,,-0.125,,,0.176776695,,,0.009152913,,,-0.002288228,,,0.000327916,,,-3.69756E-05,,,-45.00 ,16.875,,,0,95.45941546,-20.36992693,,
80542,slide,1573790137091 ,1143,25,94,8 ,0,,,-0.25,,,0.25,,,-0.009152913,,,0.000335103,,,3.21117E-05,,,-2.98375E-06,,,90.00 ,-16.875,,,0.2,-67.5,12.41497564,,
80544,slide,1573790137099 ,1143,23,94,8 ,0.125,,,-0.125,,,0.176776695,,,-0.006472087,,,0.000591997,,,8.24175E-06,,,-2.18631E-05,,,-45.00 ,5.625,,,0.2,31.81980515,7.272524356,,
80546,slide,1573790137107 ,1144,22,94,8 ,0.125,,,0,,,0.125,,,-0.001736111,,,0.000657931,,,-0.000166663,,,7.51343E-05,,,0.00 ,11.25,,,0.2,90,-22.5,,
80534,slide,1573790137115 ,1145,22,94,9 ,0,,,-0.111111111,,,0.111111111,,,0.003527337,,,-0.000675373,,,0.000434411,,,-0.000175912,,,90.00 ,-10,,,0.5,-90,20,,
80537,slide,1573790137124 ,1145,21,94,7 ,0.142857143,,,0,,,0.142857143,,,-0.00255102,,,0.003234329,,,-0.001148793,,,0.000398361,,,0.00 ,12.85714286,,,0.5,90,-25.71428571,,
80539,slide,1573790137131 ,1146,21,94,8 ,0,,,-0.125,,,0.125,,,0.020089286,,,-0.004807222,,,0.001639732,,,-0.000462138,,,90.00 ,-11.25,,,0.5,-90,8.4375,,
80541,slide,1573790137139 ,1146,20,94,7 ,0.285714286,,,0,,,0.285714286,,,-0.018368492,,,0.008310632,,,-0.002057374,,,0.00042038,,,0.00 ,-6.428571429,,,0.4,-22.5,6.342097459,,
80543,slide,1573790137146 ,1148,20,94,9 ,0.111111111,,,-0.111111111,,,0.15713484,,,0.039805929,,,-0.006090985,,,0.000885289,,,-0.000149555,,,-45.00 ,3.440417392,,,0.2,21.89468221,-2.551280552,,
80545,slide,1573790137155 ,1149,19,94,8 ,0.5,,,-0.125,,,0.515388203,,,-0.015012937,,,0.001876617,,,-0.000460703,,,0.000167194,,,-14.04 ,-0.549838169,,,0.103448276,-1.066842753,0.133355344,,
80547,slide,1573790137163 ,1153,18,94,8 ,0.375,,,-0.125,,,0.395284708,,,0,,,-0.001809003,,,0.000876851,,,-0.000240011,,,-18.43 ,0,,,0.018867925,0,-0.321370513,,
80548,slide,1573790137171 ,1156,17,94,8 ,0.375,,,-0.125,,,0.395284708,,,-0.014472026,,,0.005205808,,,-0.001043236,,,0.000124713,,,-18.43 ,-1.016262794,,,0,-2.570964105,0.321370513,,
80549,slide,1573790137179 ,1159,16,94,8 ,0.25,,,-0.125,,,0.279508497,,,0.027174437,,,-0.00314008,,,-4.55284E-05,,,0.00015993,,,-26.57 ,0,,,0.034482759,0,0.350190821,,
80550,slide,1573790137187 ,1161,15,94,9 ,0.444444444,,,-0.222222222,,,0.496903995,,,0.002053801,,,-0.003504307,,,0.001233912,,,-0.000310128,,,-26.57 ,1.392089745,,,0,2.801526571,-0.648912087,,
80551,slide,1573790137196 ,1165,13,94,8 ,0.5,,,-0.125,,,0.515388203,,,-0.029484963,,,0.007600902,,,-0.00155724,,,0.000282236,,,-14.04 ,-1.566100964,,,0.054794521,-3.038682209,0.133940171,,
80552,slide,1573790137204 ,1169,12,94,8 ,0.25,,,-0.125,,,0.279508497,,,0.031322255,,,-0.00485702,,,0.00070065,,,-0.000110913,,,-26.57 ,-0.549838169,,,0.05,-1.967160837,0.340191573,,
80553,slide,1573790137212 ,1171,11,94,11 ,0.454545455,,,-0.272727273,,,0.530086536,,,-0.007533904,,,0.000748179,,,-0.000186656,,,3.42219E-06,,,-30.96 ,0.399882305,,,0.015384615,0.754371745,-0.358252357,,
80554,slide,1573790137223 ,1176,8,94,5 ,0.4,,,-0.2,,,0.447213595,,,0.000696063,,,-0.001305035,,,-0.000149012,,,0.000201285,,,-26.57 ,-1.42500327,,,0.015384615,-3.186404179,0.00991866,,
80555,slide,1573790137228 ,1178,7,94,8 ,0.375,,,-0.25,,,0.450693909,,,-0.005829111,,,-0.002050094,,,0.000857414,,,-0.000288678,,,-33.69 ,-1.413741559,,,0.029411765,-3.136810881,-0.422615973,,
80556,slide,1573790137236 ,1181,5,94,7 ,0.285714286,,,-0.285714286,,,0.404061018,,,-0.02222986,,,0.004809221,,,-0.001452009,,,0.00035725,,,-45.00 ,-2.633564118,,,0.048780488,-6.517738662,3.806050066,,
80557,slide,1573790137243 ,1183,3,94,9 ,0.111111111,,,-0.222222222,,,0.248451997,,,0.011434687,,,-0.005354841,,,0.001048739,,,-0.000163145,,,-63.43 ,5,,,0.08,20.1246118,-2.236067977,,
80559,slide,1573790137252 ,1184,1,94,9 ,0.333333333,,,-0.111111111,,,0.351364184,,,-0.036758879,,,0.004083809,,,-0.000419563,,,3.62557E-06,,,-18.43 ,0,,,0.2,0,0.131379853,,
80567,slide,1573790137261 ,1187,0,94,4466 ,-0.019480519,,,0.006493506,,,0.020534271,,,-4.59791E-06,,,0.000307741,,,-0.000386933,,,0.000415117,,,-18.43 ,0.024280105,,,0,1.182418677,-0.00026476,,
80569,slide,1573790141727 ,1100,29,94,1 ,0,,,0,,,0,,,1.374368542,,,-1.727734829,,,1.853525829,,,-1.89750651,,,90.00 ,-165.9637565,,,0,0,7.509814044,,
80560,slide,1573790141728 ,1100,29,94,3 ,-0.333333333,,,1.333333333,,,1.374368542,,,-0.353366287,,,0.125791,,,-0.043980682,,,0.015400801,,,-75.96 ,10.32125218,,,0,7.509814044,-2.503271348,,
80562,slide,1573790141731 ,1099,33,94,9 ,-0.222222222,,,0.222222222,,,0.314269681,,,0.024006712,,,-0.006151046,,,0.002221722,,,-0.000665217,,,-45.00 ,0,,,0.133333333,0,-0.482795456,,
80564,slide,1573790141740 ,1097,35,94,8 ,-0.375,,,0.375,,,0.530330086,,,-0.031352699,,,0.013844455,,,-0.003765235,,,0.000856829,,,-45.00 ,-2.304368603,,,0,-4.345159108,1.219262363,,
80566,slide,1573790141748 ,1094,38,94,8 ,-0.125,,,0.25,,,0.279508497,,,0.079402942,,,-0.016277422,,,0.003089398,,,-0.000585929,,,-63.43 ,1.511844635,,,0.073170732,5.408939799,-0.912227939,,
80570,slide,1573790141756 ,1093,40,94,7 ,-0.571428571,,,0.714285714,,,0.914732034,,,-0.050816434,,,0.008437759,,,-0.001598037,,,0.000320949,,,-51.34 ,-1.72782244,,,0.040540541,-1.888883712,0.599016776,,
80574,slide,1573790141763 ,1089,45,94,8 ,-0.25,,,0.5,,,0.559016994,,,0.008247876,,,-0.002748504,,,0.000648603,,,-0.000131254,,,-63.43 ,1.288105809,,,0.051282051,2.30423372,-0.367524968,,
80579,slide,1573790141771 ,1087,49,94,8 ,-0.375,,,0.5,,,0.625,,,-0.013740156,,,0.00244032,,,-0.000401429,,,6.31854E-05,,,-53.13 ,-0.397478765,,,0.04494382,-0.635966024,0.189736527,,
80583,slide,1573790141779 ,1084,53,94,7 ,-0.285714286,,,0.428571429,,,0.515078754,,,0.0057824,,,-0.000771114,,,0.000104054,,,-4.10524E-05,,,-56.31 ,0.454261446,,,0.013513514,0.881926196,-0.420413641,,
80584,slide,1573790141786 ,1082,56,94,9 ,-0.333333333,,,0.444444444,,,0.555555556,,,0.000384604,,,-4.27338E-05,,,-0.000183313,,,0.000108222,,,-53.13 ,-1.144982941,,,0.013513514,-2.060969294,0.228996588,,
80586,slide,1573790141795 ,1079,60,94,8 ,-0.25,,,0.5,,,0.559016994,,,0,,,-0.001692548,,,0.000790681,,,-0.000333035,,,-63.43 ,0,,,0.04494382,0,0.199150261,,
80558,slide,1573790141803 ,1077,64,94,8 ,-0.25,,,0.5,,,0.559016994,,,-0.013540386,,,0.004632902,,,-0.001873598,,,0.000549822,,,-63.43 ,0.890627044,,,0,1.59320209,-0.446165759,,
80561,slide,1573790141811 ,1075,68,94,8 ,-0.25,,,0.375,,,0.450693909,,,0.023522832,,,-0.010355886,,,0.002524975,,,-0.000518705,,,-56.31 ,-0.890627044,,,0.030769231,-1.976123983,0.247015498,,
80563,slide,1573790141819 ,1073,71,94,7 ,-0.285714286,,,0.571428571,,,0.638876565,,,-0.059324252,,,0.009843914,,,-0.001624665,,,0.000265575,,,-63.43 ,0,,,0.030769231,0,0,,
80565,slide,1573790141826 ,1071,75,94,10 ,-0.1,,,0.2,,,0.223606798,,,0.009583148,,,-0.00152874,,,0.000234363,,,-4.16644E-05,,,-63.43 ,0,,,0,0,0,,
80568,slide,1573790141836 ,1070,77,94,7 ,-0.142857143,,,0.285714286,,,0.319438282,,,-0.005704255,,,0.000814894,,,-0.000182281,,,7.62964E-06,,,-63.43 ,0,,,0,0,0,,
80571,slide,1573790141843 ,1069,79,94,8 ,-0.125,,,0.25,,,0.279508497,,,0,,,-0.00046107,,,-0.000128873,,,8.25809E-05,,,-63.43 ,0,,,0,0,8.577274392,,
80573,slide,1573790141851 ,1068,81,94,8 ,-0.125,,,0.25,,,0.279508497,,,-0.003688562,,,-0.001492055,,,0.000531774,,,-0.000165429,,,-63.43 ,19.1793686,,,0,68.61819514,-8.577274392,,
80576,slide,1573790141859 ,1067,83,94,8 ,0,,,0.25,,,0.25,,,-0.015625,,,0.002762136,,,-0.00079166,,,0.000259919,,,90.00 ,0,,,0.117647059,0,-16.875,,
80578,slide,1573790141867 ,1067,85,94,8 ,0,,,0.125,,,0.125,,,0.006472087,,,-0.003571147,,,0.001287692,,,-0.0003921,,,90.00 ,-16.875,,,0,-135,28.80742693,,
80581,slide,1573790141875 ,1067,86,94,8 ,-0.125,,,0.125,,,0.176776695,,,-0.022097087,,,0.00673039,,,-0.001849109,,,0.000493425,,,-45.00 ,16.875,,,0.2,95.45941546,-11.93242693,,
80572,slide,1573790141883 ,1066,87,94,9 ,0,,,0,,,0,,,0.031746032,,,-0.008062484,,,0.00209829,,,-0.000481564,,,90.00 ,0,,,0,0,0,,
80575,slide,1573790141892 ,1066,87,94,7 ,0,,,0.285714286,,,0.285714286,,,-0.040816327,,,0.010822127,,,-0.002235788,,,0.000413853,,,90.00 ,0,,,0,0,0,,
80577,slide,1573790141899 ,1066,89,94,8 ,0,,,0,,,0,,,0.034938562,,,-0.004828391,,,0.000661183,,,-8.9852E-05,,,90.00 ,-19.1793686,,,0,0,8.577274392,,
